Individual	Parent1	Parent2	Pedigree
06KL162149	M815869	MT103884	( 06KL162149 ( M815869 ( 13404BB2 , Asgrow_A2722 ) , MT103884 ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) )
06KL162978	MT002750	SJ833009	( 06KL162978 ( MT002750 ( ST1970 , L932113 ( Syngneta_S12-49 , Syngenta_S24-92 ) ) , SJ833009 ( Syngenta_S38-L5 , Pioneer_P9281 ) ) )
06KL163285	97026-N99-42648	MT103884	( 06KL163285 ( 97026-N99-42648 , MT103884 ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) )
06KL163375	WW703873	97026-N99-42648	( 06KL163375 ( WW703873 ( Asgrow_A2540 , Pioneer_P9362 ) , 97026-N99-42648 ) )
06KL167872	MT103884	Pioneer_P91M10	( 06KL167872 ( MT103884 ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) , Pioneer_P91M10 ) )
06NB199076	M815869	97824-N00-47977	( 06NB199076 ( M815869 ( 13404BB2 , Asgrow_A2722 ) , 97824-N00-47977 ( 92283-A95-30338 ( AP2880 , 85336-B88-31056 ( 82266-B84-09240 ( Williams_82 , Asgrow_A3127 ( Williams , Essex ) ) , Harper ) ) , Pioneer_P9234 ) ) )
06NB199520	WW815289	97284-N00-47977	( 06NB199520 ( WW815289 ( 13404BB2 , Asgrow_A2722 ) , 97284-N00-47977 ( 92283-A95-30438 ( AP2880 , 85336-B88-31056 ( 82266-B84-09240 ( Williams_82 , Asgrow_A3127 ( Williams , Essex ) ) , Harper ) ) , Pioneer_P9234 ) ) )
06NB204846	WW115926	98211-A01-36153	( 06NB204846 ( WW115926 , 98211-A01-36153 ( Syngenta_S21-A1 , 92032-A95-58316 ( AP2880 , Asgrow_A2872 ( Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , Asgrow_A3501 ( Williams_82 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) ) )
06RM934415	WW115926	Pioneer_P93B15	( 06RM934415 ( WW115926 , Pioneer_P93B15 ) )
07DL599351	Syngenta_S03-W4	G-1549	( 07DL599351 ( Syngenta_S03-W4 , G-1549 ) )
07RG381326	OACPrudence	Syngenta_S03-W4	( 07RG381326 ( OACPrudence , Syngenta_S03-W4 ) )
103321	Asgrow_A3559	AG3502	( 103321 ( Asgrow_A3559 , AG3502 ) )
1045636	AG2107RR2YBC2	AG00901	( 1045636 ( AG2107RR2YBC2 , AG00901 ) )
1045652	JW2007A6-D0YN	MK0107A1B0RN	( 1045652 ( JW2007A6-D0YN , MK0107A1B0RN ) )
1045681	28-61RY	CR2-1503N	( 1045681 ( 28-61RY , CR2-1503N ) )
1045692	MK0707A3-D0RN	RM2007A1-D0YN	( 1045692 ( MK0707A3-D0RN , RM2007A1-D0YN ) )
1045703	JW1508E7-A0YN	RM1609B8-B0YN	( 1045703 ( JW1508E7-A0YN , RM1609B8-B0YN ) )
1045742	260744-14	RM2007A1-D0YN	( 1045742 ( 260744-14 , RM2007A1-D0YN ) )
1045746	JW1508E7-A0YN	RM1609B8-B0YN	( 1045746 ( JW1508E7-A0YN , RM1609B8-B0YN ) )
1045748	JW1508E7-A0YN	RM1609B8-B0YN	( 1045748 ( JW1508E7-A0YN , RM1609B8-B0YN ) )
1045749	JW1508E7-A0YN	RM1609BB-B0YN	( 1045749 ( JW1508E7-A0YN , RM1609BB-B0YN ) )
1045798	JW1508E7-A0YN	RM1909B5-B0YN	( 1045798 ( JW1508E7-A0YN , RM1909B5-B0YN ) )
1045962	AG2002	RM1909B5-D0YN	( 1045962 ( AG2002 , RM1909B5-D0YN ) )
1046238	AG3132	AG3130	( 1046238 ( AG3132 , AG3130 ) )
1046250	BL3409A8-D0YN	AG3130	( 1046250 ( BL3409A8-D0YN , AG3130 ) )
