Individual	Parent1	Parent2	Pedigree
Pioneer_P9311	Asgrow_A1937	Asgrow_A3127	( Pioneer_P9311 ( Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) , Asgrow_A3127 ( Williams , Essex ) ) )
Pioneer_P9392	Asgrow_A3127	Gnome	( Pioneer_P9392 ( Asgrow_A3127 ( Williams , Essex ) , Gnome ) )
Pioneer_P9443	Douglas	Fayette	( Pioneer_P9443 ( Douglas , Fayette ) )
Pioneer_P9521	Pioneer_P9531	Pioneer_P9561	( Pioneer_P9521 ( Pioneer_P9531 , Pioneer_P9561 ( Mack , Forrest ) ) )
Pioneer_P9551	J74-45	1095C42	( Pioneer_P9551 ( J74-45 , 1095C42 ) )
Pioneer_P9561	Mack	Forrest	( Pioneer_P9561 ( Mack , Forrest ) )
Pioneer_P9583	Pioneer_P9591	Pioneer_P9471	( Pioneer_P9583 ( Pioneer_P9591 , Pioneer_P9471 ) )
Pioneer_P9593	2177-57	Pioneer_P9561	( Pioneer_P9593 ( 2177-57 , Pioneer_P9561 ( Mack , Forrest ) ) )
Pioneer_P9761	2178-33	2029-14	( Pioneer_P9761 ( 2178-33 , 2029-14 ) )
Pontiac	Corsoy	Beeson	( Pontiac ( Corsoy , Beeson ) )
Prichard_RR	Prichard	MON_RR	( Prichard_RR ( Prichard , MON_RR ) )
Pride_B216	Corsoy	Wayne	( Pride_B216 ( Corsoy , Wayne ) )
Pride_B236	Northrup_King_S1346	AgriPro_25	( Pride_B236 ( Northrup_King_S1346 ( A55-4629-4 ( Roanoke , Hawkeye ) , PI_257435 ) , AgriPro_25 ) )
Pridesoy_57	Pridesoy	-	( Pridesoy_57 ( Pridesoy , - ) )
Pro5-10	G03-3385	N06-10035	( Pro5-10 ( G03-3385 ( Benning , PI_619083 ) , N06-10035 ( Young , N6202 ( N6201 , N95-7390 ( Young , Fukuyutaka ( Oka_Daizu , Shiro_Daizu_3 ) ) ) ) ) )
Probst	Spencer	Resnik	( Probst ( Spencer , Resnik ) )
Profiseed_1138	Hark	PI_68430	( Profiseed_1138 ( Hark , PI_68430 ) )
Prohio	HC94-81PR	Asgrow_A2506	( Prohio ( HC94-81PR , Asgrow_A2506 ) )
Proto	M70-504	M69-42	( Proto ( M70-504 ( M63-87 ( Chippewa , PI_261475 ) , Bitterhof ) , M69-42 ( M63-158 ( PI_261475 , Pridesoy_II ) , Provar ) ) )
