Individual	Parent1	Parent2	Pedigree
JTN-4407	SS94-7546	HS93-4118	( JTN-4407 ( SS94-7546 ( Pioneer_P9341 , S86-4499 ( L77-443 ( Union , L75-8020 ( Corsoy , - ) ) , L77-906 ) ) , HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) ) )
JTN-4408	S97-1753	V94-0198-9-LOAM02	( JTN-4408 ( S97-1753 ( Hartz_H5545 , S91-1381 ( Hartz_H5370 , Hartwig ) ) , V94-0198-9-LOAM02 ) )
JTN-4507	S97-1688	V94-0198-13-LOAM02	( JTN-4507 ( S97-1688 ( S91-1381 ( Hartz_H5370 , Hartwig ) , Hartz_H5810 ) , V94-0198-13-LOAM02 ) )
JTN-4508	SS94-7546	LS96-0735	( JTN-4508 ( SS94-7546 ( Pioneer_P9341 , S86-4499 ( L77-443 ( Union , L75-8020 ( Corsoy , - ) ) , L77-906 ) ) , LS96-0735 ( Flyer , Asgrow_A4715 ) ) )
JTN-4607	LS94-3207	S95-1908-3-LOAM02	( JTN-4607 ( LS94-3207 ( Pharaoh ( Forrest , V71-480 ( V63-76 ( Hill , D53-354 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ( S-100 ( Illini ( A.K. , - ) , - ) ( Illini ( A.K. , - ) ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ( Clemson ( PI_71659 , - ) ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) ( Mandarin ( PI_36653 , - ) ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ( PI_30593 , - ) ) , Richland ) ) ) , V66-318 ( D53-184 ( D49-2525 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , L46-5679 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Richland ) ) , J22 ( L37-1355 ( PI_81041 , - ) , Arksoy_2913 ( Arksoy ( PI_35335 , - ) , - ) ) ) ) ) , Hartwig ) , S95-1908-3-LOAM02 ) )
JTN-4619	5002T	PI_494182	( JTN-4619 ( 5002T , PI_494182 ) )
JTN-5104	Fowler	S95-1908	( JTN-5104 ( Fowler , S95-1908 ( S92-1495 ( AT550 , Hartwig ) , Northrup_King_S59-60 ) ) )
JTN-5106	DPL_5960RR	Anand-4-CYST02	( JTN-5106 ( DPL_5960RR , Anand-4-CYST02 ) )
JTN-5107	S97-1753	S96-2641-2-LOAM02	( JTN-5107 ( S97-1753 ( Hartz_H5545 , S91-1381 ( Hartz_H5370 , Hartwig ) ) , S96-2641-2-LOAM02 ) )
JTN-5108	S95-1908	BOLIVAR-2-LOAM02	( JTN-5108 ( S95-1908 ( S92-1495 ( AT550 , Hartwig ) , Northrup_King_S59-60 ) , BOLIVAR-2-LOAM02 ) )
JTN-5110	J98-32	Anand	( JTN-5110 ( J98-32 , Anand ) )
JTN-5111	PI_437655	5601T	( JTN-5111 ( PI_437655 , 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) ) )
JTN-5203	R93-171	Anand	( JTN-5203 ( R93-171 , Anand ) )
JTN-5204	Fowler	S95-1908	( JTN-5204 ( Fowler , S95-1908 ( S92-1495 ( AT550 , Hartwig ) , Northrup_King_S59-60 ) ) )
JTN-5207	J98-32	DT96-6840	( JTN-5207 ( J98-32 , DT96-6840 ( Hutcheson , Pioneer_P9641 ) ) )
JTN-5208	S96-2641	S97-1688-8-LOAM02	( JTN-5208 ( S96-2641 ( Pioneer_P9591 , S91-1839 ( Hartwig , Coker_485 ) ) , S97-1688-8-LOAM02 ) )
JTN-5209	PI_567516C	5601T	( JTN-5209 ( PI_567516C , 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) ) )
JTN-5211	PI_507471	Hutcheson	( JTN-5211 ( PI_507471 , Hutcheson ) )
JTN-5303	R93-171	Anand	( JTN-5303 ( R93-171 , Anand ) )
JTN-5308	J98-32	DT95-17556	( JTN-5308 ( J98-32 , DT95-17556 ( Pioneer_P9592 , DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) ) ) )
JTN-5503	Fowler	Manokin	( JTN-5503 ( Fowler , Manokin ) )
JTN_5303	Caviness	Anand	( JTN_5303 ( Caviness , Anand ) )
JTN_5503	Fowler	Manokin	( JTN_5503 ( Fowler , Manokin ) )
JW-45	Mixed_seed_lot	-	( JW-45 ( Mixed_seed_lot , - ) )
Jacques_88	Corsoy	Hodgson	( Jacques_88 ( Corsoy , Hodgson ) )
Jacques_J102A	Corsoy	PI_88029	( Jacques_J102A ( Corsoy , PI_88029 ) )
Jake	S94-1867	Anand	( Jake ( S94-1867 ( Pioneer_P9592 , S91-1693 ) , Anand ) )
Jewel	Corsoy	Wells	( Jewel ( Corsoy , Wells ) )
Jupiter	D49-2491	Bilomi_No._3	( Jupiter ( D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , Bilomi_No._3 ( PI_240664 , - ) ) )
