Individual	Parent1	Parent2	Pedigree
A44-2728-2	Manchuria_13177	L34-12	( A44-2728-2 ( Manchuria_13177 ( Manchuria ( PI_28050 , - ) , - ) , L34-12 ) )
A45-251	Mukden	Richland	( A45-251 ( Mukden ( PI_50523 , - ) , Richland ) )
A45-268	Mukden	Linman_533	( A45-268 ( Mukden ( PI_50523 , - ) , Linman_533 ( Manchu ( PI_30593 , - ) , - ) ) )
A5-7823	Adams	Clark	( A5-7823 ( Adams , Clark ) )
A50-7445	Richland	Jogun	( A50-7445 ( Richland , Jogun ) )
A50-7537	Richland	Jogun	( A50-7537 ( Richland , Jogun ) )
A52-4008	Adams	Blackhawk	( A52-4008 ( Adams , Blackhawk ) )
A54K-1406	Adams	Capital	( A54K-1406 ( Adams , Capital ) )
A55-4629-4	Roanoke	Hawkeye	( A55-4629-4 ( Roanoke , Hawkeye ) )
A55-5515	Ogden	Capital	( A55-5515 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Capital ) )
A55-5629	Roanoke	Hawkeye	( A55-5629 ( Roanoke , Hawkeye ) )
A55-5629-4	Roanoke	Hawkeye	( A55-5629-4 ( Roanoke , Hawkeye ) )
A55-5740	Roanoke	Hawkeye	( A55-5740 ( Roanoke , Hawkeye ) )
A58-1334	Hawkeye	Harosoy	( A58-1334 ( Hawkeye , Harosoy ) )
A58-932	Harosoy	Capital	( A58-932 ( Harosoy , Capital ) )
A59-1334	Hawkeye	Harosoy	( A59-1334 ( Hawkeye , Harosoy ) )
A59-619	Clark	Chippewa	( A59-619 ( Clark , Chippewa ) )
A59K-2558	Hawkeye	Chippewa	( A59K-2558 ( Hawkeye , Chippewa ) )
A62-5432	Clark	Chippewa	( A62-5432 ( Clark , Chippewa ) )
A62-5440	Harosoy	Chippewa	( A62-5440 ( Harosoy , Chippewa ) )
A62-5504	Hawkeye	Chippewa	( A62-5504 ( Hawkeye , Chippewa ) )
A66-1746-9	AX56P64-1	FC_31122	( A66-1746-9 ( AX56P64-1 ( Adams , Harosoy ) , FC_31122 ) )
A71-5558-1	Wirth	AX210-39-2	( A71-5558-1 ( Wirth , AX210-39-2 ) )
A72-102	Corsoy	Wayne	( A72-102 ( Corsoy , Wayne ) )
A72-106	Corsoy	Wayne	( A72-106 ( Corsoy , Wayne ) )
A72-107	Corsoy	Wayne	( A72-107 ( Corsoy , Wayne ) )
A72-125	Amsoy	Wayne	( A72-125 ( Amsoy , Wayne ) )
A72-409	Corsoy	Wayne	( A72-409 ( Corsoy , Wayne ) )
A72-507	Amsoy	Wayne	( A72-507 ( Amsoy , Wayne ) )
A72-509	Amsoy	Wayne	( A72-509 ( Amsoy , Wayne ) )
A72-510	Amsoy	Wayne	( A72-510 ( Amsoy , Wayne ) )
A72-511	Amsoy	Wayne	( A72-511 ( Amsoy , Wayne ) )
A72-512	Amsoy	Wayne	( A72-512 ( Amsoy , Wayne ) )
A72-513	Hark	Wayne	( A72-513 ( Hark , Wayne ) )
A72-520	Hark	Wayne	( A72-520 ( Hark , Wayne ) )
A72-522	Hark	Wayne	( A72-522 ( Hark , Wayne ) )
A72-523	Hark	Wayne	( A72-523 ( Hark , Wayne ) )
A72-525	Hark	Wayne	( A72-525 ( Hark , Wayne ) )
A73-12013	L66L-144	Dunn	( A73-12013 ( L66L-144 ( Wayne , L57-0034 ( Clark , Adams ) ) , Dunn ) )
A73-19068	Pike	Wells	( A73-19068 ( Pike , Wells ) )
A73-19084	Pike	Wells	( A73-19084 ( Pike , Wells ) )
A73-20059	Pike	L66L-144	( A73-20059 ( Pike , L66L-144 ( Wayne , L57-0034 ( Clark , Adams ) ) ) )
A73-22051	Corsoy	IVR_Ex4426	( A73-22051 ( Corsoy , IVR_Ex4426 ( Amsoy , Wayne ) ) )
