Individual	Parent1	Parent2	Pedigree
CR16-0124	CL05-4637	KB10-22-2	( CR16-0124 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , KB10-22-2 ) )
CR16-0125	CL05-4637	KB10-22-2	( CR16-0125 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , KB10-22-2 ) )
CR16-0129	LD02-9050	L66-2470-2	( CR16-0129 ( LD02-9050 ( Macon , LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) ) , L66-2470-2 ) )
CR16-0130	LD02-9050	L66-2470-2	( CR16-0130 ( LD02-9050 ( Macon , LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) ) , L66-2470-2 ) )
CR16-0153	LG09-8165	HI0800685	( CR16-0153 ( LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) , HI0800685 ) )
CR16-0154	LG09-8165	HI0800685	( CR16-0154 ( LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) , HI0800685 ) )
CR16-0155	LG09-8165	HI0800685	( CR16-0155 ( LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) , HI0800685 ) )
CR16-0156	LG09-8165	HI0800685	( CR16-0156 ( LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) , HI0800685 ) )
CR16-1124	CL05-3314	KB10-22-1	( CR16-1124 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-1398	CL05-3314	KB10-22-2	( CR16-1398 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-2 ) )
CR17-0594	KB10-22#1551	CL0J095-4-6	( CR17-0594 ( KB10-22#1551 , CL0J095-4-6 ( CX1705R-108 ( CRS7C1-13-1 , Savoy ) , Dwight ) ) )
CR17-0765	KB10-22#1583	4J105-3-4	( CR17-0765 ( KB10-22#1583 , 4J105-3-4 ( CLOJ173-6-2 ( Kottman , Dwight ) , WW115926 ) ) )
CR17-0824	KB10-22#1583a	4J105-3-4	( CR17-0824 ( KB10-22#1583a , 4J105-3-4 ( CLOJ173-6-2 ( Kottman , Dwight ) , WW115926 ) ) )
CR17-0969	KB10-22#1583	Maverick	( CR17-0969 ( KB10-22#1583 , Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) ) )
CR17-3693	LG09-8165	WN0800527	( CR17-3693 ( LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) , WN0800527 ) )
CR17-3701	LG09-8165	WN0800527	( CR17-3701 ( LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) , WN0800527 ) )
CR17-3734	LG09-8165	WN0800527	( CR17-3734 ( LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) , WN0800527 ) )
